Kode Pangan,Nama Pangan,Lemak,Karbohidrat,Serat,Natrium,Kalium,Keterangan,link
AP011,"Jagung kuning, tepung",3.9,73.7,7.2,0.11,0.244,"Jagung kuning tepung adalah tepung yang berasal dari jagung kuning yang dihaluskan. Tepung ini dapat digunakan sebagai bahan untuk membuat adonan roti, kue, atau hidangan lainnya.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP012,"Jagung kuning pipil, rebus",3.5,28.4,0.7,0.05,0.564,"Jagung kuning pipil rebus adalah jagung kuning yang dikupas bijinya dan direbus hingga matang. Biasanya disajikan sebagai sayuran dalam hidangan seperti sup, gado-gado, atau tumisan.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP013,Tepung jagung putih,3.9,73.7,7.2,0.11,0.244,"Tepung jagung putih adalah jenis tepung yang terbuat dari biji jagung putih yang digiling halus. Tepung jagung putih sering digunakan dalam pembuatan roti, kue, atau adonan kulit karena memberikan tekstur yang lembut dan rasa yang ringan. Tepung jagung putih juga bisa digunakan sebagai bahan pengental dalam saus atau sup.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP014,Ketupat ketan,4.6,38.6,0.2,0,0,Ketupat ketan adalah hidangan yang terbuat dari beras ketan yang dikukus dalam anyaman janur (daun kelapa). Ketupat ketan memiliki tekstur yang kenyal dan sering disajikan sebagai pendamping hidangan seperti sate atau gulai.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP015,"Ketan hitam, matang",1.2,37.3,0.3,0.09,0.184,Ketan hitam adalah jenis nasi ketan yang menggunakan beras ketan hitam. Ketan hitam dimasak hingga matang dan memiliki tekstur yang kenyal serta rasa yang manis. Ketan hitam sering digunakan dalam hidangan penutup atau camilan manis.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP016,Tapai ketan hitam,1,34.4,0.3,0.05,0.12,"Tapai ketan hitam adalah makanan fermentasi yang terbuat dari beras ketan hitam. Proses pembuatan tapai ketan hitam mirip dengan tapai beras, di mana beras ketan hitam direndam, dikukus, dan difermentasi dengan ragi. Tapai ketan hitam memiliki rasa manis dengan aroma khas ketan hitam yang kaya dan digunakan dalam berbagai hidangan tradisional.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP017,"Ketan putih, matang",0.4,35.7,0.2,0.08,0.168,Ketan putih adalah jenis nasi ketan yang menggunakan beras ketan putih. Ketan putih dimasak hingga matang dan memiliki tekstur yang kenyal serta rasa yang manis. Ketan putih sering digunakan dalam hidangan penutup atau camilan manis.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP018,Tapai ketan putih,0.5,37.5,0.6,0.01,0,"Tapai ketan putih adalah makanan fermentasi yang terbuat dari beras ketan putih. Proses pembuatan tapai ketan putih serupa dengan tapai beras, di mana beras ketan putih direndam, dikukus, dan difermentasi dengan ragi. Tapai ketan putih memiliki rasa manis dan digunakan dalam berbagai hidangan tradisional.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP019,"Maizena, tepung",0,85,7,0.06,0.09,"Maizena adalah merek dagang untuk tepung kanji atau tepung jagung. Tepung ini digunakan sebagai bahan pengental dalam saus, sup, atau hidangan lainnya. Maizena sering digunakan sebagai alternatif tepung terigu untuk orang yang memiliki alergi gluten.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP020,Makaroni,0.4,78.7,4.9,0.05,0,"Makaroni adalah jenis mie yang terbuat dari tepung terigu dan air. Makaroni biasanya berbentuk silinder atau pipa kecil. Mie ini sering digunakan sebagai bahan dalam hidangan pasta, sup, atau hidangan panggang seperti makaroni panggang.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP021,Mi basah,3.3,14,0.1,0.63,0.135,"Mi basah adalah hidangan mie yang biasanya terdiri dari mi yang dimasak secara mendidih dan disajikan dengan kuah atau saus. Mi basah dapat dihidangkan dengan berbagai macam topping seperti daging, ayam, sayuran, dan telur. Hidangan ini populer di Indonesia dan memiliki variasi regional yang berbeda.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP022,Mi kering,1.7,6.3,0.4,7.6,0.83,"Mi kering adalah hidangan mie yang tidak menggunakan kuah atau saus. Mie ini biasanya dimasak, ditumis dengan bumbu-bumbu seperti kecap, bawang, dan sayuran, serta dapat ditambahkan dengan daging, ayam, atau seafood. Mi kering sering disajikan dalam keadaan kering atau dengan saus tambahan di atasnya.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP023,Misoa,2.2,78,0.5,30.64,0.44,"Misoa adalah hidangan mie yang terbuat dari campuran tepung terigu dan tepung jagung. Mie ini memiliki tekstur yang lembut dan biasanya dimasak dalam kuah kaldu dengan tambahan daging ayam, tauge, dan irisan daun bawang.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP024,Roti Putih,1.2,50,9.1,5.3,0.91,"Roti putih adalah jenis roti yang terbuat dari tepung terigu, air, ragi, gula, dan garam. Roti putih memiliki tekstur yang lembut dan biasanya digunakan sebagai dasar untuk membuat sandwich, roti bakar, atau hidangan lainnya.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP025,Tepung terigu,1,77.2,0.3,0.02,0,"Tepung terigu adalah jenis tepung yang terbuat dari gandum yang telah dihaluskan. Tepung terigu merupakan bahan dasar umum dalam pembuatan roti, kue, adonan kulit, dan berbagai hidangan lainnya. Tepung terigu memiliki kandungan gluten yang memberikan elastisitas pada adonan dan memberikan tekstur yang lembut pada produk akhir.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP026,Amparan tatak,5.5,34,0,0,0,"Amparan Tatak adalah makanan tradisional Indonesia yang berasal dari daerah Jawa Timur. Makanan ini terbuat dari tepung beras yang dicampur dengan gula dan santan kelapa, kemudian dikukus hingga matang. Amparan Tatak memiliki tekstur lembut dan rasa manis yang khas.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP027,Kue Apang kukus,0.3,46.7,0,0,0,"Kue Apang Kukus adalah kue tradisional Indonesia yang terbuat dari campuran tepung beras, kelapa parut, dan gula. Adonan kue ini kemudian dikukus hingga matang. Kue Apang Kukus memiliki tekstur yang kenyal dan rasa manis. Biasanya, kue ini disajikan sebagai camilan.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP028,Kue Apem,0.5,33.9,0,0,0,"Kue Apem adalah kue tradisional Indonesia yang terbuat dari campuran tepung beras, gula kelapa, dan ragi. Kue ini memiliki tekstur yang lembut dan rasa manis. Biasanya, Kue Apem dibuat dalam berbagai bentuk, seperti bulat atau segi empat, dan dikukus atau dipanggang sebelum disajikan.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP029,Biskuit,14.4,75.1,2.1,2.41,0.203,"Biskuit adalah sejenis makanan ringan yang terbuat dari campuran tepung, gula, dan lemak. Biskuit biasanya dipanggang hingga kering dan renyah. Makanan ini sering disajikan sebagai camilan atau dapat digunakan sebagai bahan dalam berbagai hidangan atau kue.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP030,"Bakpia, kue",6.7,44.1,0.9,0,0,"Bakpia adalah kue tradisional dari Indonesia yang terkenal di daerah Yogyakarta dan Semarang. Kue ini terbuat dari adonan tepung yang diisi dengan pasta kacang hijau, wijen, atau cokelat. Bakpia memiliki kulit yang tipis dan renyah serta isian yang manis. Kue ini sering dijadikan oleh-oleh atau camilan.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP031,Bakwan,10.2,39,3.4,0,0,"Bakwan adalah hidangan Indonesia yang terdiri dari adonan tepung yang dicampur dengan potongan sayuran seperti wortel, kubis, dan daun bawang, kemudian digoreng hingga matang. Bakwan memiliki tekstur renyah di luar dan lembut di dalam.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP032,Bantal,0.3,43.5,3.4,1.64,0.84,"Bantal adalah makanan tradisional Indonesia yang berasal dari daerah Manado, Sulawesi Utara. Makanan ini terdiri dari adonan tepung yang digulung tipis dan diisi dengan berbagai bahan seperti daging cincang, sayuran, atau ikan. Setelah diisi, bantal kemudian digoreng hingga matang dengan hasil akhir yang renyah di luar dan lembut di dalam. Bantal biasanya disajikan dengan saus pedas atau saus kacang sebagai hidangan utama atau camilan.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP033,Baruasa,8.2,79.3,0,0,0,"Baruasa adalah hidangan khas Batak dari Sumatera Utara, Indonesia. Hidangan ini terbuat dari campuran beras ketan hitam, beras ketan putih, dan kelapa parut yang dikukus. Baruasa memiliki tekstur yang kenyal dan rasa yang manis. Hidangan ini sering disajikan pada acara-acara adat atau sebagai hidangan penutup.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP034,Batar daan,2.2,19.6,0,2,0.9,"Batar Daan adalah hidangan khas dari Aceh, Indonesia. Hidangan ini terdiri dari nasi yang disajikan dengan hidangan pelengkap seperti ikan panggang, telur dadar, rendang, sambal, dan sayuran. Batar Daan memiliki rasa yang kaya dan bervariasi, dengan kombinasi bumbu dan rempah yang khas. Hidangan ini merupakan hidangan utama yang populer di Aceh.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP035,Bika Ambon,1.5,44.4,0.3,0,0,"Bika Ambon adalah kue tradisional Indonesia yang berasal dari Medan, Sumatera Utara. Kue ini terbuat dari campuran tepung terigu, telur, dan gula kelapa. Bika Ambon memiliki tekstur yang lembut, rasa manis, dan aroma yang khas.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP036,Bingka,10.6,39.1,0,0,0,"Bingka adalah kue tradisional Indonesia yang terbuat dari campuran tepung ketan, santan, gula, dan kelapa parut. Kue ini sering memiliki tekstur yang kenyal dan rasa yang manis. Bingka dapat ditemukan dalam berbagai varian, seperti bingka ubi, bingka pisang, atau bingka jagung.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP037,Bobengka,2.6,45.2,0,0,0,"Bobengka adalah hidangan khas Minahasa, Sulawesi Utara, Indonesia. Hidangan ini terbuat dari campuran kelapa parut, sagu, gula, dan rempah-rempah. Bobengka biasanya dikukus hingga matang dan memiliki tekstur yang kenyal serta rasa yang manis.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP038,Bolu Peca,4.6,35.6,0,0,0,"Bolu Peca adalah kue tradisional dari Aceh, Indonesia. Kue ini terbuat dari campuran tepung terigu, santan, gula, telur, dan rempah-rempah. Bolu Peca biasanya memiliki tekstur yang lembut, rasa manis, dan aroma yang khas.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP039,Brem,0.4,58,0,0,0,"Brem adalah minuman beralkohol tradisional yang berasal dari Jawa Tengah, Indonesia. Brem dibuat dari fermentasi beras ketan atau ketan hitam dengan ragi. Minuman ini memiliki rasa yang manis dan sedikit beralkohol.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP040,Bubur tinotuan (Manado),0.2,15.6,8.2,0,0,"Bubur tinotuan adalah hidangan tradisional dari Manado, Sulawesi Utara, Indonesia. Hidangan ini terbuat dari campuran beras ketan, jagung, dan sagu yang dimasak dengan air, santan, dan bumbu-bumbu seperti daun bawang, daun kemangi, dan bawang goreng. Bubur tinotuan biasanya disajikan dengan ikan bakar, ayam goreng, dan sambal.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP041,Cake tape,11.5,50.1,1.4,4.86,1.64,Cake tape adalah sejenis kue tradisional yang terbuat dari beras ketan yang telah difermentasi.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP042,Cangkuning,7.5,31.4,0,0,0,Cangkuning adalah sejenis makanan yang terbuat dari bahan-bahan alami dengan rasa manis dan gurih.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP043,Dodol Bali,2.1,65.9,0.4,0,0,Dodol Bali adalah makanan tradisional dari Bali yang terbuat dari beras ketan dan gula kelapa.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP044,Dodol galamai,3.8,76.1,0.5,0,0,"Dodol Galamai adalah makanan tradisional dari Aceh. Dodol ini terbuat dari bahan dasar seperti kelapa parut, gula kelapa, dan tepung ketan. Dodol Galamai memiliki tekstur kenyal dan rasa manis yang khas.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP045,Dodol kedondong,7.6,63.8,1,0.38,0.76,Dodol Kedondong adalah makanan tradisional yang berasal dari daerah Jawa Tengah. Dodol ini terbuat dari buah kedondong yang diolah bersama dengan gula kelapa. Dodol Kedondong memiliki rasa asam manis yang segar.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP046,Dodol manado,16.5,51.9,0.4,0,0,"Dodol Manado adalah makanan tradisional khas dari Manado, Sulawesi Utara. Dodol ini terbuat dari bahan dasar seperti kelapa parut, gula kelapa, dan santan. Dodol Manado memiliki rasa manis yang khas dan sering dijadikan sebagai oleh-oleh khas daerah tersebut.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP047,Emping beras,2.2,85.3,0.2,0.35,0.72,"Emping Beras adalah kerupuk yang terbuat dari tepung beras yang digiling halus, kemudian dicetak dan digoreng. Emping Beras memiliki tekstur yang renyah dan rasa yang gurih.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP048,Gemblong,5.4,55.5,2.2,0.01,1.13,"Gemblong adalah jajanan pasar yang terbuat dari campuran ketan, kelapa parut, dan gula merah. Gemblong biasanya berbentuk silinder dan memiliki rasa manis yang khas.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP049,Gendar goreng,28.2,32,0.1,0,0,"Gendar Goreng adalah makanan tradisional dari Jawa Tengah. Terbuat dari campuran tepung beras, gula merah, dan kelapa parut yang digoreng hingga matang. Gendar Goreng memiliki tekstur yang renyah dan rasa yang manis.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP051,Jagung gerontol,1.3,33.3,1,0,0.38,agung gerontol adalah hidangan yang terbuat dari jagung yang dipotong menjadi ukuran kecil dan digoreng hingga renyah. Hidangan ini sering disajikan sebagai camilan.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP052,Jagung titi,2.2,79.1,0.8,0,0,Jagung titi adalah hidangan yang terbuat dari biji jagung yang telah dikeringkan dan digiling menjadi tepung kasar. Tepung jagung titi ini sering digunakan sebagai bahan dalam pembuatan kue tradisional atau makanan ringan.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP058,"Kelepon, kue",3.7,41.8,1,0,0,Kelepon adalah kue tradisional Indonesia yang terbuat dari tepung ketan yang dibentuk menjadi bola dan diisi dengan gula merah cair. Kue ini biasanya dilapisi dengan kelapa parut. Kelepon memiliki tekstur kenyal dan rasa manis dari gula merah.,https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP059,Kereput,39.6,51.1,0,0,0,"Kereput adalah camilan khas Indonesia yang terbuat dari bahan-bahan seperti tepung terigu, gula, dan mentega. Kereput memiliki tekstur yang renyah dan biasanya memiliki rasa manis. Camilan ini sering disajikan dalam acara-acara tertentu atau sebagai camilan sehari-hari.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP060,Ketoprak,7.7,13,2.9,0,0,"Ketoprak adalah hidangan khas Indonesia yang terbuat dari ketupat (nasi ketan yang dikukus dan dipotong-potong), tahu, taoge, lontong, dan bumbu saus kacang. Ketoprak sering disajikan dengan tambahan kerupuk sebagai hidangan yang lezat dan gurih.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP061,Ketupat kandangan,5.2,13.4,0,0,0,"Ketupat Kandangan adalah hidangan tradisional Indonesia yang berasal dari daerah Kandangan, Kalimantan Selatan. Ketupat Kandangan terbuat dari beras yang dikukus dalam anyaman janur (daun kelapa). Hidangan ini biasanya disajikan dengan kuah gulai atau sambal sebagai hidangan utama.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP062,Koya,4.3,77.5,0.8,0,0,"Koya adalah bumbu atau campuran yang terbuat dari biji wijen yang digoreng dan dihaluskan. Koya biasanya digunakan sebagai taburan untuk hidangan seperti mi, nasi, atau pangsit untuk memberikan rasa gurih dan tekstur renyah.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP065,Kue ali,18.5,64.5,0.3,0,0,"Kue Ali adalah sejenis kue tradisional Indonesia yang terbuat dari campuran tepung terigu, gula, dan telur. Kue ini memiliki tekstur yang lembut dan rasa manis. Biasanya, Kue Ali diberi taburan gula halus di atasnya sebelum disajikan.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP066,Kue bangen,14.7,74.2,0,0,0,"Kue Bangket adalah sejenis kue kering tradisional Indonesia yang terbuat dari campuran tepung terigu, telur, gula, dan mentega. Kue ini memiliki bentuk seperti kue kering yang pipih dan biasanya diberi taburan gula halus di atasnya.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP067,Kue gelang,16.1,70,0,0,0,"Kue Jahe adalah kue tradisional yang terbuat dari campuran tepung terigu, gula, telur, margarin, dan jahe. Kue ini memiliki aroma jahe yang khas dan rasa manis. Biasanya, kue ini dipanggang hingga matang sebelum disajikan.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP068,Kue jahe,8.8,84.6,1.2,0,0,"Kue Kelapa adalah kue tradisional yang terbuat dari campuran kelapa parut, gula, dan tepung terigu. Kue ini memiliki tekstur yang lembut dan rasa manis. Biasanya, kue ini dibentuk menjadi bulatan atau berbagai bentuk lainnya dan dikukus atau dipanggang sebelum disajikan.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP072,Kue lumpur,11.1,44.1,0,0,0,"Kue Lumpur adalah sejenis kue yang terbuat dari campuran tepung terigu, gula, telur, santan, dan bahan lainnya. Kue ini memiliki tekstur yang lembut dan rasa manis. Biasanya, kue ini dipanggang atau dikukus hingga matang sebelum disajikan.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP073,Kue pelita,5.5,17.6,0,0,0,"Kue Pelita adalah kue tradisional Indonesia yang terbuat dari campuran tepung beras, gula kelapa, dan santan. Kue ini memiliki bentuk yang unik, yaitu seperti lilin kecil yang terbuat dari daun pisang yang dilapisi adonan kue. Di dalamnya terdapat campuran adonan tepung beras yang kemudian dibakar. Kue Pelita memiliki rasa manis dan aroma daun pisang yang khas.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP074,Kue putu cangkir,7,54.9,0.9,0,0,"Kue Putu Cangkir adalah sejenis kue tradisional Indonesia yang terbuat dari campuran tepung beras, gula kelapa, dan air daun pandan. Kue ini memiliki bentuk seperti cangkir kecil dan biasanya dimasak dengan cara dikukus. Di bagian tengah kue terdapat isi berupa gula merah yang memberikan rasa manis saat dimakan.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP075,Kue sus,10.2,24.8,0,0,0,"Kue Sus adalah kue manis yang terbuat dari adonan yang terdiri dari air, mentega, tepung terigu, dan telur. Adonan ini kemudian dipanggang hingga mengembang dan berwarna kecokelatan. Kue Sus biasanya diisi dengan krim kocok atau krim pastry, dan sering diberi taburan gula bubuk di atasnya.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
AP076,Kue timphan,4.2,49.5,0,0,0,"Kue Timphan adalah penganan kecil sejenis lepat yang berasal dari Aceh. Bahan untuk membuat timphan terdiri dari tepung beras, pisang, dan santan. Semua bahan ini kemudian diaduk-aduk sampai kenyal.",https://static.promediateknologi.id/crop/0x0:0x0/0x0/webp/photo/p2/136/2023/08/17/KHAS-MAKANAN-3540635153.jpg
